chr	gene_id	gene_name	start	end	gene_type
1	ENSG00000142611	PRDM16	3069203	3438621	protein_coding
1	ENSG00000157911	PEX10	2403974	2412564	protein_coding
1	ENSG00000142655	PEX14	10474950	10630758	protein_coding
1	ENSG00000149527	PLCH2	2476289	2505532	protein_coding
1	ENSG00000171621	SPSB1	9292894	9369532	protein_coding
1	ENSG00000142583	SLC2A5	9035106	9069635	protein_coding
1	ENSG00000173614	NMNAT1	9943475	9985498	protein_coding
1	ENSG00000162592	CCDC27	3752450	3771645	protein_coding
1	ENSG00000204624	DISP3	11479155	11537551	protein_coding
1	ENSG00000142606	MMEL1	2590639	2633016	protein_coding
1	ENSG00000171729	TMEM51	15153747	15220478	protein_coding
1	ENSG00000037637	FBXO42	16246840	16352480	protein_coding
1	ENSG00000159423	ALDH4A1	18871430	18902555	protein_coding
1	ENSG00000157916	RER1	2391841	2405436	protein_coding
1	ENSG00000157881	PANK4	2508537	2526596	protein_coding
1	ENSG00000048707	VPS13D	12230030	12512047	protein_coding
1	ENSG00000162444	RBP7	9997228	10016021	protein_coding
1	ENSG00000180758	GPR157	9100305	9129102	protein_coding
1	ENSG00000184677	ZBTB40	22451851	22531154	protein_coding
1	ENSG00000131697	NPHP4	5862811	5992425	protein_coding
1	ENSG00000197921	HES5	2528745	2530263	protein_coding
1	ENSG00000055070	SZRD1	16367242	16398145	protein_coding
1	ENSG00000175087	PDIK1L	26111824	26125555	protein_coding
1	ENSG00000162511	LAPTM5	30732469	30757774	protein_coding
1	ENSG00000158014	SLC30A2	26037252	26046118	protein_coding
1	ENSG00000204138	PHACTR4	28369740	28500364	protein_coding
1	ENSG00000142675	CNKSR1	26177491	26189884	protein_coding
1	ENSG00000197245	FAM110D	26159079	26163962	protein_coding
1	ENSG00000130772	MED18	28329040	28335965	protein_coding
1	ENSG00000090020	SLC9A1	27098809	27155125	protein_coding
1	ENSG00000157978	LDLRAP1	25543606	25568886	protein_coding
1	ENSG00000130770	ATP5IF1	28236124	28238100	protein_coding
1	ENSG00000162512	SDC3	30869466	30908758	protein_coding
1	ENSG00000158006	PAFAH2	25959767	25998063	protein_coding
1	ENSG00000126698	DNAJC8	28200278	28233029	protein_coding
1	ENSG00000130766	SESN2	28259518	28282491	protein_coding
1	ENSG00000168528	SERINC2	31413213	31434678	protein_coding
1	ENSG00000196581	AJAP1	4654609	4792534	protein_coding
1	ENSG00000169403	PTAFR	28147166	28176690	protein_coding
1	ENSG00000084628	NKAIN1	31179745	31239887	protein_coding
1	ENSG00000060688	SNRNP40	31259568	31296788	protein_coding
